,skeleton_id
7,366296
10,381576
13,566252
14,567254
30,1065951
31,1067653
36,1149968
37,1165084
58,1822302
67,2426397
72,2613540
77,2713762
78,2718132
89,2840667
106,3065910
130,3550347
136,3638537
139,3650979
143,3709977
157,3795628
162,3837184
170,3859195
177,3944535
193,4262955
194,4284106
208,4947922
217,5039358
218,5071140
257,5807010
260,5901749
275,6527935
279,6568902
291,6737250
297,6882233
304,7020344
313,7308765
314,7320824
316,7361586
320,7391794
321,7392528
323,7397556
324,7437288
329,7818302
335,7964284
347,8130551
348,8135422
350,8139754
351,8156233
362,8438283
371,8719175
385,9256289
399,9715453
410,9800200
419,9813902
421,9903957
438,10560039
448,10828132
449,10829019
459,11183924
468,11540332
470,11553313
495,12095401
497,12156009
498,12163232
499,12187509
507,12313022
518,12471849
522,12552703
523,12618740
525,12723058
526,12724387
527,12724921
533,12843760
536,12969295
538,13005303
541,13097145
552,13211798
555,13359650
562,13743030
565,13759953
568,13789482
570,13948433
593,14586601
601,14672026
609,14839655
612,14932843
615,15078840
625,15483628
644,15893954
671,16293937
680,16355642
682,16355827
687,16391031
690,16422788
720,16795153
738,16908649
745,16940087
769,17053386
772,17095938
774,17103055
776,17116576
777,17130929
785,17222200
789,17227502
790,17228498
791,17247309
795,17254278
801,17268695
802,17268761
807,17280936
820,17373015
828,17378442
833,17388516
854,17438858
855,17451966
857,17459472
860,17494712
870,17549584
882,17636952
886,17654502
887,17654508
902,17722354
905,17733054
907,17733190
908,17733553
909,17733560
914,17816986
915,17831589
918,17909960
925,18052325
938,18084201
953,18110623
954,18117985
981,18407464
1005,18692104
1006,18692757
1007,18694802
1038,18898258
1049,19042617
1083,19350555
1086,19352481
1088,19358617
1126,19718002
1128,19725007
1139,19845260
1140,19846181
1141,19846190
1158,19993054
1167,20092563
1192,20316708
1195,20346349
1266,21275442
