,0
0,1065967.0
1,1805669.0
2,1868538.0
3,1961182.0
4,1980134.0
5,2142817.0
6,2283495.0
7,2355126.0
8,2357110.0
9,2369444.0
10,2379544.0
11,2438653.0
12,2439067.0
13,2439134.0
14,2439150.0
15,2504517.0
16,2506050.0
17,2597151.0
18,2648254.0
19,2650887.0
20,2655798.0
21,2659386.0
22,2660767.0
23,2663649.0
24,2667061.0
25,2667980.0
26,2669331.0
27,2776773.0
28,2797480.0
29,2852273.0
30,2854715.0
31,2914206.0
32,2920061.0
33,2920554.0
34,2921933.0
35,2932028.0
36,2935173.0
37,2935198.0
38,2963280.0
39,2964760.0
40,2966602.0
41,2979486.0
42,2979675.0
43,2988292.0
44,3010486.0
45,3021609.0
46,3027876.0
47,3043970.0
48,3044500.0
49,3046503.0
50,3060480.0
51,3061422.0
52,3157405.0
53,3158085.0
54,3158123.0
55,3167039.0
56,3232277.0
57,3235409.0
58,3272218.0
59,3276003.0
60,3281684.0
61,3414508.0
62,3436420.0
63,3498479.0
64,3561724.0
65,3595837.0
66,3620633.0
67,3664102.0
68,3707204.0
69,3712893.0
70,3726990.0
71,3727004.0
72,3729504.0
73,3764792.0
74,3765728.0
75,3765735.0
76,3793681.0
77,3793760.0
78,3794023.0
79,3814175.0
80,3814651.0
81,3814701.0
82,3814853.0
83,3820148.0
84,3882998.0
85,3886356.0
86,3890028.0
87,3913613.0
88,3913620.0
89,3913629.0
90,3925724.0
91,3926904.0
92,3928522.0
93,3928574.0
94,3928652.0
95,3930411.0
96,3931398.0
97,3932136.0
98,3944626.0
99,3945136.0
100,3945225.0
101,3945246.0
102,3945394.0
103,3945756.0
104,3946166.0
105,3946364.0
106,3946432.0
107,3946569.0
108,3979181.0
109,4022539.0
110,4067286.0
111,4099900.0
112,4101621.0
113,4102413.0
114,4103336.0
115,4108720.0
116,4114133.0
117,4127096.0
118,4127926.0
119,4144377.0
120,4152020.0
121,4180774.0
122,4188290.0
123,4188325.0
124,4214582.0
125,4227831.0
126,4227880.0
127,4228105.0
128,4234009.0
129,4234559.0
130,4274518.0
131,4279887.0
132,4379508.0
133,4379603.0
134,4381377.0
135,4391317.0
136,4398543.0
137,4408369.0
138,4409374.0
139,4411542.0
140,4411688.0
141,4414163.0
142,4414184.0
143,4422289.0
144,4433960.0
145,4453485.0
146,4473922.0
147,4506509.0
148,4514494.0
149,4515496.0
150,4523584.0
151,4523803.0
152,4570270.0
153,4575178.0
154,4598109.0
155,4607160.0
156,4617479.0
157,4635057.0
158,4636432.0
159,4637677.0
160,4665186.0
161,4680995.0
162,4721538.0
163,4780707.0
164,4785242.0
165,4849988.0
166,4876839.0
167,4884579.0
168,4901087.0
169,4926999.0
170,4983938.0
171,4985759.0
172,5010581.0
173,5033480.0
174,5038920.0
175,5091874.0
176,5118060.0
177,5134110.0
178,5289042.0
179,5321459.0
180,5326407.0
181,5369028.0
182,5453333.0
183,5462159.0
184,5474852.0
185,5484314.0
186,5500958.0
187,5507096.0
188,5512988.0
189,5656152.0
190,5657004.0
191,5669107.0
192,5675990.0
193,5679304.0
194,5680013.0
195,5681132.0
196,5684940.0
197,5688091.0
198,5689639.0
199,5690425.0
200,5700090.0
201,5734134.0
202,5738449.0
203,5745110.0
204,5746180.0
205,5747036.0
206,5754346.0
207,5760480.0
208,5762666.0
209,5763407.0
210,5764924.0
211,5769582.0
212,5771934.0
213,5783868.0
214,5791548.0
215,5794678.0
216,5855343.0
217,5856647.0
218,5869204.0
219,5870071.0
220,5874480.0
221,5890323.0
222,5898284.0
223,5934511.0
224,5938794.0
225,5955853.0
226,5956787.0
227,5959820.0
228,5963873.0
229,5966099.0
230,5971400.0
231,5973097.0
232,5975584.0
233,5976168.0
234,5996485.0
235,6011278.0
236,6061068.0
237,6114695.0
238,6133702.0
239,6143930.0
240,6154200.0
241,6193472.0
242,6290724.0
243,6298455.0
244,6300434.0
245,6317793.0
246,6445994.0
247,6446394.0
248,6494382.0
249,6554358.0
250,6572414.0
251,6591182.0
252,6597872.0
253,6609380.0
254,6611100.0
255,6611894.0
256,6703240.0
257,6978585.0
258,7005145.0
259,7005184.0
260,7026287.0
261,7053966.0
262,7056904.0
263,7057894.0
264,7065182.0
265,7130033.0
266,7187384.0
267,7227010.0
268,7335439.0
269,7388340.0
270,7421507.0
271,7422253.0
272,7422595.0
273,7429933.0
274,7431625.0
275,7467027.0
276,7476468.0
277,7529574.0
278,7530253.0
279,7557604.0
280,7569260.0
281,7573476.0
282,7574701.0
283,7582412.0
284,7582489.0
285,7587948.0
286,7589765.0
287,7590264.0
288,7594047.0
289,7612147.0
290,7616956.0
291,7688300.0
292,7692008.0
293,7700444.0
294,7807684.0
295,7901791.0
296,7962986.0
297,7971031.0
298,7977834.0
299,7980189.0
300,7980369.0
301,7982307.0
302,7982324.0
303,7982896.0
304,7983899.0
305,8019816.0
306,8034919.0
307,8037197.0
308,8047280.0
309,8065771.0
310,8068173.0
311,8069365.0
312,8069432.0
313,8069478.0
314,8075484.0
315,8078096.0
316,8094859.0
317,8118947.0
318,8127390.0
319,8138616.0
320,8167696.0
321,8177199.0
322,8184598.0
323,8203947.0
