,0
0,2597151.0
1,3158085.0
2,3046503.0
3,2355126.0
4,3414508.0
5,3498479.0
6,3931398.0
7,3793760.0
8,3945225.0
9,3793681.0
10,3945394.0
11,3729504.0
12,4381377.0
13,10673895.0
14,4408397.0
15,4199033.0
16,4453485.0
17,15202263.0
18,4506509.0
19,2357110.0
20,4523584.0
21,2659386.0
22,4966994.0
23,16578252.0
24,5745929.0
25,16617920.0
26,7557604.0
27,3276003.0
28,7901791.0
29,2506050.0
30,9006142.0
31,5783868.0
32,9235545.0
33,17435815.0
34,9408003.0
35,6061068.0
36,9423829.0
37,9057043.0
38,9428865.0
39,13674287.0
40,9714476.0
41,16709072.0
42,9870483.0
43,14328512.0
44,10237401.0
45,5858788.0
46,10323628.0
47,8370111.0
48,10728328.0
49,13557064.0
50,10728333.0
51,18464581.0
52,11639192.0
53,10059655.0
54,12195879.0
55,20443598.0
56,12293334.0
57,13405613.0
58,12364717.0
59,11356523.0
60,12398622.0
61,4103336.0
62,12475432.0
63,3890028.0
64,12634154.0
65,2283495.0
66,12935706.0
67,5805651.0
68,14034311.0
69,5976168.0
70,14158399.0
71,17784367.0
72,14726069.0
73,16852421.0
74,15421363.0
75,3299214.0
76,15539984.0
77,8271875.0
78,15588620.0
79,7594047.0
80,15612283.0
81,15736398.0
82,15770140.0
83,12049797.0
84,16160495.0
85,8814922.0
86,16361363.0
87,13953184.0
88,16444548.0
89,7807684.0
90,16753901.0
91,12935696.0
92,16886842.0
93,10784285.0
94,17306107.0
95,6111289.0
96,17813499.0
97,10785260.0
98,18035864.0
99,4411688.0
100,18538744.0
101,11362334.0
102,18566361.0
103,16471422.0
104,19088042.0
105,8717042.0
