,0
0,3814651.0
1,15732471.0
2,3814701.0
3,9761454.0
4,3928652.0
5,12704360.0
6,3946432.0
7,2935173.0
8,4379603.0
9,8307514.0
10,4422289.0
11,11605861.0
12,4570270.0
13,2921933.0
14,4607160.0
15,9287199.0
16,4680995.0
17,17806341.0
18,4780707.0
19,15683275.0
20,5091874.0
21,9287906.0
22,5453333.0
23,13803032.0
24,5474852.0
25,17591442.0
26,5484314.0
27,12746220.0
28,5938794.0
29,8310955.0
30,5963873.0
31,4101621.0
32,7335439.0
33,5500958.0
34,8347613.0
35,8349553.0
36,8423405.0
37,11137808.0
38,8755914.0
39,8741619.0
40,8974428.0
41,9294475.0
42,8993049.0
43,17867309.0
44,9792178.0
45,2920061.0
46,9971209.0
47,8812078.0
48,10382686.0
49,16100103.0
50,10710503.0
51,18142558.0
52,11144258.0
53,9800178.0
54,11348509.0
55,3765735.0
56,11782821.0
57,3913613.0
58,12281339.0
59,9585013.0
60,12293334.0
61,13405613.0
62,12387154.0
63,8723267.0
64,12667895.0
65,17425996.0
66,12782494.0
67,15585114.0
68,12840470.0
69,10495502.0
70,13395814.0
71,17756162.0
72,13422280.0
73,7589765.0
74,13852833.0
75,9457719.0
76,13966828.0
77,3707204.0
78,14319498.0
79,17942676.0
80,14333371.0
81,2932028.0
82,14450919.0
83,18220289.0
84,14818307.0
85,3932136.0
86,15568134.0
87,5973097.0
88,15590793.0
89,17378548.0
90,16100461.0
91,8711574.0
92,16409132.0
93,17896997.0
94,16442113.0
95,3814175.0
96,16444758.0
97,17762417.0
98,16494105.0
99,4108720.0
100,16637377.0
101,7962986.0
102,16799809.0
103,16369928.0
104,16838915.0
105,8544824.0
106,16848475.0
107,17980792.0
108,17360010.0
109,15638906.0
110,17641913.0
111,13429045.0
112,17776906.0
113,4101295.0
114,17844900.0
115,18598859.0
116,17962513.0
117,8842220.0
118,19045334.0
119,9585036.0
120,19051762.0
121,17913032.0
122,11029359.0
123,3232277.0
