,0
0,3048606.0
1,3009700.0
2,5744058.0
3,4128002.0
4,6633635.0
5,9241349.0
6,6723364.0
7,10198121.0
8,10893103.0
9,9720614.0
10,10982951.0
11,8697453.0
12,11263687.0
13,6692908.0
14,11717014.0
15,20344845.0
16,12325227.0
17,9507904.0
18,14338439.0
19,8805777.0
20,15365184.0
21,5512988.0
22,16485518.0
23,2885630.0
24,16490014.0
25,9161929.0
26,16541149.0
27,10079731.0
28,16594752.0
29,9530532.0
30,17105977.0
31,8970595.0
32,17108278.0
33,9051500.0
34,17223685.0
35,8880781.0
36,17360042.0
37,9856062.0
38,17360254.0
39,4393350.0
40,17729410.0
41,1141813.0
42,17729424.0
43,8821758.0
44,20343986.0
45,2881070.0
46,21220994.0
47,8229118.0
