,0
0,1924051
1,17698681
2,3281684
3,3561724
4,3486867
5,5478818
6,3539170
7,8159396
8,3543931
9,13795090
10,3650006
11,15829660
12,3945225
13,3793681
14,3945232
15,11637003
16,3945394
17,3729504
18,3945454
19,9841469
20,4400767
21,13751194
22,4453485
23,15202263
24,4506509
25,2357110
26,4523584
27,2659386
28,4523803
29,13793212
30,4983938
31,12336493
32,4991243
33,8227502
34,5053417
35,16188942
36,5261424
37,4679139
38,5708994
39,17654617
40,6445994
41,3436420
42,8012953
43,8254894
44,8704079
45,16735586
46,8877971
47,3806573
48,9589146
49,7503199
50,9787592
51,13191017
52,9787933
53,867393
54,9795662
55,15250080
56,9842383
57,6219445
58,10202724
59,5480553
60,10329208
61,13535380
62,10418394
63,2260755
64,10459723
65,2852273
66,10555409
67,5247102
68,10563755
69,13535387
70,10865025
71,4116174
72,11067379
73,4393049
74,11146422
75,19276024
76,11157622
77,17036160
78,11229136
79,17529547
80,11656349
81,16297403
82,11853038
83,12842593
84,12000033
85,9750356
86,12121795
87,11788830
88,12225666
89,4327684
90,12360656
91,17819985
92,12479019
93,5560620
94,12617396
95,3844799
96,12634154
97,2283495
98,13380660
99,14517691
100,13830600
101,16057212
102,13832416
103,5591201
104,13833814
105,16316981
106,15547235
107,17036132
108,15608355
109,6252764
110,15623649
111,20443457
112,15639294
113,7571966
114,16316916
115,5592307
116,16588928
117,17355892
118,16906721
119,5590611
120,17176866
121,17176882
122,17355745
123,16158918
124,17356454
125,2557644
126,17359133
127,869360
128,17423125
129,5559657
130,17728605
131,16463097
132,17732791
133,15334461
134,17740547
135,13580849
136,17951049
137,10263287
138,18440675
139,12335381
140,18740553
141,3814635
142,19054481
143,17351780
144,19101351
145,3848843
146,19470184
147,3732322
148,3797420
149,5558724
150,12424328
151,16457812
152,7934904
153,7935088
154,11105182
155,10158972
156,3736500
157,16621864
158,16795838
159,16795524
160,8349454
161,1591351
162,3622234
163,3420915
164,9787859
165,11941255
