,0
0,1591351
1,2220573
2,2568465
3,2568522
4,2612527
5,2628785
6,3450442
7,3450751
8,3486867
9,3486950
10,3539170
11,3543931
12,3650006
13,3712893
14,3736500
15,3797420
16,3806652
17,3814635
18,3844799
19,3844961
20,3848843
21,4116174
22,4119387
23,4311586
24,4327684
25,4391978
26,4393049
27,4679139
28,4700078
29,4700182
30,4991243
31,5030808
32,5247102
33,5261424
34,5322337
35,5327961
36,5478818
37,5558724
38,5590611
39,5592307
40,5708994
41,6143930
42,6218461
43,6219781
44,6220384
45,7503199
46,7563413
47,7941652
48,8012953
49,8069432
50,8159396
51,8198416
52,8227502
53,8254894
54,8274021
55,8276782
56,8349454
57,8509534
58,8542422
59,8704079
60,9119558
61,9589146
62,9750356
63,10013517
64,10158972
65,10160250
66,10167078
67,10167116
68,10221622
69,10555409
70,10831005
71,10865025
72,10990803
73,11007420
74,11009492
75,11051276
76,11067379
77,11105182
78,11146422
79,11184236
80,11195708
81,11229136
82,11333054
83,11543212
84,11656349
85,11788830
86,11821320
87,11838242
88,11853038
89,11934107
90,11986594
91,12000033
92,12089601
93,12121795
94,12199095
95,12225666
96,12360656
97,12424328
98,12425856
99,12478620
100,12612426
101,12617396
102,12842593
103,12882387
104,13173311
105,13313410
106,13380660
107,13580849
108,13795090
109,13833814
110,13849557
111,13858824
112,13968203
113,14154154
114,14437742
115,14517691
116,15334461
117,15829660
118,16158918
119,16297403
120,16316916
121,16316981
122,16318521
123,16393165
124,16457812
125,16515871
126,16586265
127,16621864
128,16735586
129,16884962
130,16906721
131,17062823
132,17277623
133,17304269
134,17327188
135,17351780
136,17355745
137,17355872
138,17356450
139,17435678
140,17529547
141,17545695
142,17654617
143,17659219
144,17728571
145,17728632
146,17732291
147,17732791
148,17740547
149,17743170
150,17814107
151,17819985
152,17884299
153,18740553
154,19054481
155,19101351
156,19276024
