,0
0,2568465
1,2612527
2,3450442
3,3486381
4,3486950
5,3538129
6,3712893
7,3736500
8,3806573
9,3806652
10,4116174
11,4119387
12,4247099
13,4324898
14,4327684
15,4354933
16,4391978
17,4493199
18,4651929
19,4679139
20,4700078
21,4700182
22,5030808
23,5247102
24,5261424
25,5291791
26,6143930
27,6451332
28,6557581
29,7092417
30,7107433
31,7198338
32,7394271
33,7503199
34,7515491
35,7600311
36,7843730
37,7845346
38,7851153
39,7852250
40,7864823
41,7865652
42,7865696
43,7865767
44,7873135
45,7916593
46,7934904
47,7935088
48,7939890
49,7939979
50,7941642
51,7941652
52,8021456
53,8102935
54,8140109
55,8198238
56,8198317
57,8198416
58,8198513
59,8199671
60,8231264
61,8243455
62,8244723
63,8244823
64,8245014
65,8245146
66,8245513
67,8245692
68,8245869
69,8246081
70,8246750
71,8247451
72,8248631
73,8252067
74,8253413
75,8256186
76,8273369
77,8274021
78,8276782
79,8311264
80,8399890
81,8480221
82,8509534
83,8704079
84,8877971
85,9119558
86,9589146
87,10158972
88,10167078
89,10555409
90,10831005
91,10865025
92,10990803
93,11051276
94,11105182
95,11279244
96,11543212
97,12225666
98,13380660
99,13589251
100,13849557
101,14154154
102,14437742
103,14517691
104,14604028
105,16259595
106,16515871
107,16621864
108,16735586
109,16795524
110,16795838
111,17545695
