,0
0,2439134.0
1,4099900.0
2,4279887.0
3,10293348.0
4,4379508.0
5,3794023.0
6,4391317.0
7,11826171.0
8,4393026.0
9,5585799.0
10,4570270.0
11,2921933.0
12,4607160.0
13,9287199.0
14,4635057.0
15,7971031.0
16,4636432.0
17,9808146.0
18,4778745.0
19,4319395.0
20,4780707.0
21,15683275.0
22,4985759.0
23,9291474.0
24,7187384.0
25,3664102.0
26,7582412.0
27,2776773.0
28,7582489.0
29,7977834.0
30,9201911.0
31,17591687.0
32,9207332.0
33,8305958.0
34,9421292.0
35,5507096.0
36,9445876.0
37,4102413.0
38,9488991.0
39,16131474.0
40,9747418.0
41,4127707.0
42,12387154.0
43,8723267.0
44,12745771.0
45,2914206.0
46,12948470.0
47,9275210.0
48,16442113.0
49,3814175.0
50,16474159.0
51,9291437.0
52,17420035.0
53,8705088.0
54,19611917.0
55,8138616.0
