,0
0,2204467.0
1,2512602.0
2,4398543.0
3,17380092.0
4,4422289.0
5,11605861.0
6,4570270.0
7,2921933.0
8,4637677.0
9,17913185.0
10,4680995.0
11,17806341.0
12,4721538.0
13,8069365.0
14,5762666.0
15,17777259.0
16,7582412.0
17,2776773.0
18,7694589.0
19,8271034.0
20,7952981.0
21,8717219.0
22,7982896.0
23,8177199.0
24,8111135.0
25,7555968.0
26,8118929.0
27,2775943.0
28,8262372.0
29,8068173.0
30,8347613.0
31,8349553.0
32,8423405.0
33,11137808.0
34,8582134.0
35,8469124.0
36,9488991.0
37,16131474.0
38,9567051.0
39,9539868.0
40,9927082.0
41,7874184.0
42,9940382.0
43,8124177.0
44,10382686.0
45,16100103.0
46,10427055.0
47,17437725.0
48,10955244.0
49,11248536.0
50,11004239.0
51,8069478.0
52,11037238.0
53,7719118.0
54,11144258.0
55,9800178.0
56,11782821.0
57,3913613.0
58,12138418.0
59,8310087.0
60,12476851.0
61,16070049.0
62,12498338.0
63,3913629.0
64,12587013.0
65,9015568.0
66,14133114.0
67,17166682.0
68,14461238.0
69,18292832.0
70,14818307.0
71,3932136.0
72,16087799.0
73,2775707.0
74,16098538.0
75,8670503.0
76,17244655.0
77,17360593.0
78,17361757.0
79,12813847.0
80,17414715.0
81,8247641.0
82,17420035.0
83,8705088.0
84,17729088.0
85,9637388.0
86,17732085.0
87,8698941.0
88,18566501.0
89,15588389.0
90,19611917.0
91,8138616.0
92,12371688.0
93,9811608.0
