skeleton,n_treenodes_left,n_inputs_left,n_outputs_left,n_treenodes_right,n_inputs_right,n_outputs_right
29,0,0,0,2954,203,90
677717,0,0,0,2200,100,28
855719,0,0,0,407,0,0
858479,0,0,0,220,0,0
865151,0,0,0,95,0,0
867393,0,0,0,1916,41,50
869360,0,0,0,385,0,0
8124177,0,0,0,2554,73,37
1065967,349,1,0,1117,38,0
1137946,0,0,0,2198,110,64
1141813,0,0,0,1461,44,22
1591270,1504,39,65,584,1,0
1622901,1643,137,19,0,0,0
1646076,2265,119,39,290,4,17
1678567,2793,396,17,0,0,0
1679034,1301,26,32,0,0,0
1805406,0,0,0,1643,45,23
1805418,0,0,0,1988,67,39
1805669,0,0,0,1658,87,28
2775943,0,0,0,1849,57,13
7874184,0,0,0,1851,73,17
1868538,581,8,34,2631,121,36
7555968,0,0,0,3027,166,66
8717219,0,0,0,1997,89,17
5656152,951,12,29,2664,103,19
5657004,3392,189,21,842,10,28
2355126,684,2,4,1201,76,0
2142817,1816,99,24,566,19,38
2852273,520,0,2,1287,68,0
2283495,489,0,0,1768,114,0
2204467,1352,58,12,0,0,0
8118929,1207,61,14,0,0,0
8700125,3735,311,58,0,0,0
2260755,467,0,0,1198,33,1
8111135,2620,154,59,0,0,0
7952981,2622,134,68,0,0,0
2369444,5044,432,59,1008,59,67
2379529,1949,51,32,0,0,0
2379544,1706,45,29,0,0,0
7694589,1187,36,13,0,0,0
2357110,569,0,1,1339,86,0
2438653,2510,71,32,605,6,31
2439067,2822,244,19,670,24,33
2439134,3252,200,74,0,0,0
2439150,1618,67,44,0,0,0
2504517,550,7,14,1861,48,29
2505266,577,2,25,1482,45,0
2506050,1133,132,65,4758,356,81
2512602,0,0,0,1032,50,0
8271034,0,0,0,1635,39,6
8247641,0,0,0,4263,326,91
7897051,0,0,0,3490,297,80
8480418,0,0,0,3739,216,44
2568465,3073,238,68,0,0,0
2568522,2200,96,58,473,0,0
4311586,1543,53,56,1530,86,22
2597151,2973,153,65,0,0,0
2612527,3957,304,113,0,0,0
2628785,1388,112,34,1187,54,40
2648254,0,0,0,1484,94,11
2650887,913,44,26,3061,205,38
2652641,931,21,19,0,0,0
2655798,0,0,0,1927,71,0
2659504,975,14,46,1045,38,0
2660767,0,0,0,765,23,0
2663649,0,0,0,1512,89,4
2667061,0,0,0,2841,189,39
2667980,481,11,13,1194,51,5
2669331,439,8,3,1096,52,12
2669844,1391,57,0,2244,92,0
2670619,329,2,0,1380,26,9
2557644,0,0,0,130,6,0
2659386,643,1,1,1298,49,0
2772093,0,0,0,3946,148,50
2775707,0,0,0,2173,78,15
2776773,0,0,0,2814,101,53
2797480,1794,107,37,0,0,0
2842451,0,0,0,36,0,0
2846555,0,0,0,2554,100,53
2854715,0,0,0,3138,200,48
8598886,0,0,0,2063,64,52
2878185,0,0,0,1462,45,13
2881070,0,0,0,2379,101,72
2885630,0,0,0,2501,89,45
2914206,0,0,0,3006,144,88
2910892,1058,25,7,0,0,0
2911847,1050,8,26,5139,254,13
