,old_name,new_name
0,old_CN-21,CN-1
1,old_CN-22,CN-2
2,old_CN-24,CN-3
3,old_CN-10,CN-4
4,old_CN-25,CN-5
5,old_CN-7,CN-6
6,old_CN-18,CN-7
7,old_CN-17,CN-8
8,old_CN-52,CN-9
9,old_CN-44,CN-10
10,old_CN-12,CN-11
11,old_CN-6,CN-12
12,old_CN-5,CN-13
13,old_CN-8,CN-14
14,old_CN-56,CN-15
15,old_CN-47,CN-16
16,old_CN-16,CN-17
17,old_CN-49,CN-18
18,old_CN-60,CN-19
19,old_CN-3,CN-20
20,old_CN-1,CN-21
21,old_CN-64,CN-22
22,old_CN-48,CN-23
23,old_CN-2,CN-24
24,old_CN-23,CN-25
25,old_CN-53,CN-26
26,old_CN-20,CN-27
27,old_CN-11,CN-28
28,old_CN-19,CN-29
29,old_CN-61,CN-30
30,old_CN-46,CN-31
31,old_CN-45,CN-32
32,old_CN-4,CN-33
33,old_CN-55,CN-34
34,old_CN-51,CN-35
35,old_CN-54,CN-36
36,old_CN-59,CN-37
37,old_CN-58,CN-38
38,old_CN-65,CN-39
39,old_CN-9,CN-40
40,old_CN-62,CN-41
41,old_CN-63,CN-42
42,old_CN-13,CN-43
43,old_CN-57,CN-44
44,old_CN-38,CN-45
45,old_CN-37,CN-46
46,old_CN-35,CN-47
47,old_CN-31,CN-48
48,old_CN-34,CN-49
49,old_CN-29,CN-50
50,old_CN-27,CN-51
51,old_CN-30,CN-52
52,old_CN-33,CN-53
53,old_CN-32,CN-54
54,old_CN-36,CN-55
55,old_CN-14,CN-56
56,old_CN-28,CN-57
57,old_CN-26,CN-58
58,old_CN-40,CN-59
59,old_CN-42,CN-60
60,old_CN-43,CN-61
61,old_CN-41,CN-62
