,skid,annotation
0,[7980189],CN-2
1,[11600886],CN-2
2,[7065182],CN-3
3,[18062678],CN-3
4,[14000746],CN-4
5,[16699958],CN-4
6,[11018254],CN-5
7,[15480928],CN-5
8,[11889676],CN-6
9,[14313750],CN-6
10,[3913620],CN-7
11,[9409359],CN-7
12,[15668309],CN-8
13,[17165711],CN-8
14,[8539175],CN-9
15,[13988443],CN-9
16,[10543751],CN-10
17,[11464638],CN-10
18,[10411574],CN-11
19,[17379420],CN-11
20,[11013351],CN-12
21,[11909406],CN-12
22,[5321459],CN-13
23,[10809383],CN-13
24,[7612147],CN-14
25,[11257084],CN-14
26,[4391317],CN-15
27,[11826171],CN-15
28,[8034919],CN-16
29,[12299621],CN-16
30,[5874480],CN-17
31,[17058350],CN-17
32,[8075484],CN-18
33,[13197236],CN-18
34,[8065771],CN-19
35,[17038587],CN-19
36,[12813847],CN-20
37,[17361757],CN-20
38,[12476851],CN-21
39,[16070049],CN-21
40,[8037197],CN-22
41,[17822238],CN-22
42,[16475849],CN-23
43,[16823703],CN-23
44,[8423405],CN-24
45,[11137808],CN-24
46,[5474852],CN-25
47,[17591442],CN-25
48,[5453333],CN-27
49,[13803032],CN-27
50,[8565131],CN-28
51,[14319185],CN-28
52,[3913629],CN-29
53,[12498338],CN-29
54,[11703922],CN-30
55,[16181377],CN-30
56,[13863331],CN-31
57,[15766806],CN-31
58,[12839441],CN-32
59,[17125520],CN-32
60,[8069478],CN-33
61,[11004239],CN-33
62,[4665186],CN-34
63,[17671219],CN-34
64,[16485079],CN-35
65,[17434825],CN-35
66,[4311586],CN-36
67,[2628785],CN-36
68,[11178891],CN-37
69,[16486385],CN-37
70,[13858797],CN-38
71,[14333495],CN-38
72,[8711574],CN-39
73,[16100461],CN-39
74,[8980589],CN-40
75,[16223537],CN-40
76,[4022539],CN-41
77,[17016974],CN-41
78,[16868923],CN-42
79,[17013073],CN-42
80,[11017761],CN-43
81,[16178283],CN-43
82,[8712361],CN-44
83,[17150791],CN-44
84,[6290724],CN-45
85,[15741865],CN-45
86,[13743125],CN-46
87,[17854345],CN-46
88,[10702736],CN-47
89,[14206030],CN-47
90,[9212816],CN-48
91,[9236708],CN-48
92,[14948339],CN-49
93,[17237305],CN-49
94,[9641919],CN-50
95,[16089738],CN-50
96,[12868041],CN-51
97,[16339645],CN-51
98,[17438424],CN-52
99,[17639784],CN-52
100,[4067286],CN-53
101,[10875625],CN-53
102,[4473922],CN-54
103,[14540633],CN-54
104,[14617508],CN-55
105,[14680483],CN-55
106,[8310087],CN-56
107,[12138418],CN-56
108,[4514494],CN-57
109,[8078096],CN-57
110,[5738449],CN-58
111,[12262910],CN-58
112,[9141404],CN-59
113,[16691937],CN-59
114,[9527522],CN-60
115,[14083681],CN-60
116,[7056904],CN-61
117,[17176927],CN-61
118,[6611100],CN-62
119,[17276867],CN-62
120,[4575178],CN-63
121,[17176911],CN-63
122,[4411542],CN-64
123,[14071613],CN-64
124,[9015568],CN-65
125,[12587013],CN-65
126,[8069432],CN-26
127,[8542422],CN-26
128,[2966602],CN-1
129,[12704069],CN-1
