,skeleton_id
0,15258
4,255222
10,381576
13,566252
14,567254
16,616176
30,1065951
31,1067653
34,1140843
37,1165084
43,1575789
44,1582761
57,1791340
58,1822302
62,2147157
63,2189894
67,2426397
70,2597899
71,2601880
77,2713762
78,2718132
80,2737230
83,2780321
85,2815572
89,2840667
95,2847082
98,2923546
106,3065910
119,3299767
121,3315001
127,3509170
129,3538998
130,3550347
135,3613276
139,3650979
140,3651198
141,3652489
143,3709977
147,3725853
148,3727963
149,3728746
150,3729051
152,3732431
153,3762060
157,3795628
158,3801211
159,3805641
162,3837184
163,3837221
164,3844896
166,3845529
167,3855754
169,3857429
170,3859195
171,3879467
177,3944535
178,3948033
190,4249996
193,4262955
194,4284106
204,4634637
209,4974356
210,4992003
213,5007013
216,5038703
217,5039358
218,5071140
219,5076724
222,5103177
224,5112268
230,5311299
234,5378683
237,5469039
242,5601924
244,5612221
245,5612251
257,5807010
260,5901749
263,6140023
277,6553986
279,6568902
280,6598987
291,6737250
294,6812313
297,6882233
301,6928252
304,7020344
311,7197077
312,7222840
314,7320824
316,7361586
320,7391794
321,7392528
322,7396710
323,7397556
324,7437288
327,7766185
329,7818302
334,7963657
335,7964284
341,8031842
347,8130551
348,8135422
350,8139754
356,8213784
362,8438283
364,8509772
366,8590529
371,8719175
376,8877795
377,8987022
378,9037304
384,9210540
385,9256289
391,9455885
397,9712223
399,9715453
402,9748579
405,9787565
406,9787672
407,9789130
408,9793489
409,9796597
415,9805520
416,9805588
417,9807954
418,9810409
419,9813902
421,9903957
422,9934374
424,10077503
425,10101567
430,10204207
432,10262043
435,10391513
438,10560039
440,10709326
441,10709348
447,10807844
448,10828132
457,11090397
459,11183924
468,11540332
470,11553313
474,11638511
475,11642879
476,11642944
483,11885445
486,11966388
493,12075804
495,12095401
497,12156009
498,12163232
499,12187509
518,12471849
522,12552703
523,12618740
530,12805997
533,12843760
536,12969295
538,13005303
541,13097145
548,13179103
551,13208469
552,13211798
555,13359650
556,13581830
557,13620905
562,13743030
564,13751298
565,13759953
566,13764284
568,13789482
570,13948433
576,14183810
593,14586601
598,14613531
601,14672026
609,14839655
614,14962387
618,15242799
624,15465968
636,15681246
644,15893954
645,15894034
653,15924717
666,16018440
671,16293937
672,16304641
673,16317330
676,16326960
680,16355642
681,16355652
682,16355827
687,16391031
690,16422788
694,16500055
702,16575803
716,16732336
738,16908649
745,16940087
758,17003953
766,17031293
772,17095938
774,17103055
776,17116576
777,17130929
780,17219367
785,17222200
787,17225493
789,17227502
790,17228498
795,17254278
796,17254290
801,17268695
802,17268761
806,17279539
807,17280936
808,17289450
821,17376791
828,17378442
833,17388516
840,17400231
841,17419898
842,17420093
854,17438858
857,17459472
858,17476189
860,17494712
863,17508998
864,17511972
882,17636952
895,17717854
898,17720399
899,17721355
900,17721400
902,17722354
909,17733560
914,17816986
915,17831589
918,17909960
923,17977058
924,18048601
938,18084201
953,18110623
954,18117985
960,18123770
961,18133501
966,18170163
967,18224978
968,18231499
973,18280757
977,18354200
981,18407464
984,18440541
1005,18692104
1009,18696902
1038,18898258
1049,19042617
1059,19161724
1068,19251658
1083,19350555
1088,19358617
1107,19431430
1114,19484503
1115,19489172
1122,19609873
1126,19718002
1139,19845260
1141,19846190
1144,19901003
1158,19993054
1163,20014634
1192,20316708
1230,20926379
1236,20952088
1259,21231464
1266,21275442
