,skeleton_id
0,15258
2,236151
4,255222
7,366296
9,375785
10,381576
13,566252
14,567254
16,616176
20,768233
21,796633
23,864517
24,887905
25,896562
27,1016662
30,1065951
31,1067653
34,1140843
36,1149968
37,1165084
39,1334471
43,1575789
44,1582761
57,1791340
58,1822302
61,2138427
62,2147157
63,2189894
65,2320454
67,2426397
68,2432564
70,2597899
71,2601880
72,2613540
77,2713762
78,2718132
80,2737230
83,2780321
85,2815572
89,2840667
95,2847082
98,2923546
101,2960207
106,3065910
117,3266033
118,3270341
119,3299767
121,3315001
122,3315386
124,3477008
127,3509170
129,3538998
130,3550347
135,3613276
136,3638537
138,3650635
139,3650979
140,3651198
141,3652489
143,3709977
146,3725839
147,3725853
148,3727963
149,3728746
150,3729051
152,3732431
153,3762060
154,3764632
157,3795628
158,3801211
159,3805641
162,3837184
163,3837221
164,3844896
166,3845529
167,3855754
169,3857429
170,3859195
171,3879467
174,3907089
177,3944535
178,3948033
182,3988395
184,4094548
185,4098851
186,4120910
190,4249996
193,4262955
194,4284106
196,4364826
199,4482838
204,4634637
205,4641120
207,4874953
208,4947922
209,4974356
210,4992003
213,5007013
216,5038703
217,5039358
218,5071140
219,5076724
220,5084356
221,5091159
222,5103177
224,5112268
228,5268581
229,5308485
230,5311299
234,5378683
235,5404887
236,5432060
237,5469039
242,5601924
244,5612221
245,5612251
249,5615961
253,5644800
257,5807010
260,5901749
263,6140023
268,6264270
275,6527935
277,6553986
279,6568902
280,6598987
291,6737250
294,6812313
297,6882233
301,6928252
304,7020344
311,7197077
312,7222840
313,7308765
314,7320824
316,7361586
319,7390860
320,7391794
321,7392528
322,7396710
323,7397556
324,7437288
325,7514601
327,7766185
329,7818302
332,7934152
334,7963657
335,7964284
341,8031842
347,8130551
348,8135422
350,8139754
351,8156233
352,8156833
355,8207211
356,8213784
362,8438283
364,8509772
366,8590529
371,8719175
374,8808729
376,8877795
377,8987022
378,9037304
384,9210540
385,9256289
391,9455885
397,9712223
398,9712698
399,9715453
400,9730269
402,9748579
403,9748981
404,9758503
405,9787565
406,9787672
407,9789130
408,9793489
409,9796597
410,9800200
412,9801441
415,9805520
416,9805588
417,9807954
418,9810409
419,9813902
421,9903957
422,9934374
424,10077503
425,10101567
430,10204207
432,10262043
435,10391513
438,10560039
440,10709326
441,10709348
447,10807844
448,10828132
449,10829019
457,11090397
458,11114427
459,11183924
460,11233169
465,11473534
468,11540332
470,11553313
472,11635711
473,11637858
474,11638511
475,11642879
476,11642944
479,11694121
483,11885445
485,11934548
486,11966388
487,11966444
493,12075804
494,12081092
495,12095401
497,12156009
498,12163232
499,12187509
501,12199926
502,12204116
507,12313022
510,12339772
517,12462031
518,12471849
522,12552703
523,12618740
525,12723058
526,12724387
527,12724921
529,12740290
530,12805997
533,12843760
536,12969295
538,13005303
541,13097145
542,13142932
543,13168715
544,13168737
546,13175136
547,13175827
548,13179103
550,13190771
551,13208469
552,13211798
555,13359650
556,13581830
557,13620905
560,13661736
562,13743030
564,13751298
565,13759953
566,13764284
568,13789482
570,13948433
571,13974142
576,14183810
582,14304430
593,14586601
598,14613531
601,14672026
608,14812545
609,14839655
612,14932843
614,14962387
615,15078840
618,15242799
619,15245182
624,15465968
625,15483628
629,15564695
630,15573428
631,15581428
635,15672344
636,15681246
639,15769638
644,15893954
645,15894034
653,15924717
655,15983118
656,15995012
657,15995309
666,16018440
671,16293937
672,16304641
673,16317330
675,16324168
676,16326960
680,16355642
681,16355652
682,16355827
683,16356717
684,16357232
687,16391031
690,16422788
692,16437548
694,16500055
702,16575803
716,16732336
720,16795153
721,16796833
738,16908649
745,16940087
753,16953794
758,17003953
766,17031293
769,17053386
772,17095938
774,17103055
776,17116576
777,17130929
779,17209725
780,17219367
785,17222200
787,17225493
789,17227502
790,17228498
791,17247309
795,17254278
796,17254290
797,17256674
798,17260732
799,17267282
800,17267288
801,17268695
802,17268761
803,17271471
806,17279539
807,17280936
808,17289450
818,17350421
820,17373015
821,17376791
822,17376806
823,17376829
824,17376835
825,17376840
826,17376845
827,17376857
828,17378442
829,17380871
830,17380876
831,17380919
832,17385045
833,17388516
839,17399886
840,17400231
841,17419898
842,17420093
854,17438858
855,17451966
857,17459472
858,17476189
860,17494712
863,17508998
864,17511972
869,17547786
870,17549584
872,17587734
877,17601553
878,17601557
882,17636952
886,17654502
887,17654508
888,17663980
894,17706915
895,17717854
896,17718177
898,17720399
899,17721355
900,17721400
902,17722354
905,17733054
906,17733114
907,17733190
908,17733553
909,17733560
910,17733566
914,17816986
915,17831589
917,17875610
918,17909960
923,17977058
924,18048601
925,18052325
938,18084201
953,18110623
954,18117985
960,18123770
961,18133501
966,18170163
967,18224978
968,18231499
971,18251018
973,18280757
977,18354200
978,18356793
979,18371412
981,18407464
984,18440541
1005,18692104
1006,18692757
1007,18694802
1009,18696902
1038,18898258
1040,18907230
1049,19042617
1050,19044710
1052,19054696
1053,19064126
1059,19161724
1068,19251658
1076,19318158
1083,19350555
1086,19352481
1088,19358617
1089,19359229
1090,19359304
1092,19376369
1094,19393544
1107,19431430
1110,19460226
1111,19460984
1113,19462960
1114,19484503
1115,19489172
1122,19609873
1125,19705474
1126,19718002
1128,19725007
1132,19731864
1133,19739836
1139,19845260
1140,19846181
1141,19846190
1144,19901003
1154,19965587
1155,19965602
1158,19993054
1163,20014634
1166,20065704
1167,20092563
1171,20135669
1174,20152212
1192,20316708
1195,20346349
1230,20926379
1236,20952088
1237,20957536
1239,20964623
1259,21231464
1266,21275442
